A0AUP1	0.360992	-0.0775284	0.0325038	0.171187	0.152769	0.0134718	-0.151889	0.0693762	<nodata>	-0.0345554	<nodata>	0.0521138	<nodata>	-0.41313	<nodata>	0.136422	<nodata>	-0.912281	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00810028	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCB1	-0.151412	-0.122149	-0.134328	-0.135563	-0.229235	0.13037	-0.167108	-0.160806	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0452628	0.0282555	-0.43942	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCC4	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0510076	<nodata>	<nodata>	<nodata>	0.158666	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0417208	-0.199658	-0.608728	<nodata>	-0.149851	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCD0	-0.0690404	-0.110888	-0.147237	-0.252356	0.0195871	-0.0205887	-0.292501	-0.489029	-0.219383	0.00226579	0.0504536	0.470093	-0.0995025	0.191577	0.0992706	0.4337	-0.229633	0.121151	0.164254	-0.101166	0.264336	0.0991986	0.172418	0.119264	-0.0124265	0.214156	0.0170848	-0.0561372	-0.0175646	0.197844	0.0360329	-0.431226	-0.593622	-0.668922	-0.0120958	0.125786	0.238722	0.0362549	-0.0611445	0.184422	0.259358	0.209823
Q9DCD6	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.168168	0.0120162	-0.147699	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCE5	0.182608	0.145918	-0.310689	<nodata>	0.0551615	0.190534	-0.235557	<nodata>	-0.380363	-0.0638471	-0.37161	<nodata>	0.102704	0.140868	-0.514768	-0.625925	-0.490999	0.0308285	-0.220623	<nodata>	-0.0243399	-0.181307	-0.809234	0.0649631	-0.283039	-0.332236	-0.222072	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00338857	0.260364	0.0415007	-0.682728	0.389626	0.255914	-0.0277017	-0.579136
Q9DCF9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.291552	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCG9	-0.0922018	-0.0800178	-0.286063	-0.1708	0.208916	-0.0110372	-0.249639	-0.483153	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.388335	0.471368	0.0540157	-0.316919	-0.765763	-0.00972412	<nodata>	-0.267516	-0.565821	-0.18121	<nodata>
Q9DCH4	0.35325	-0.037472	0.274135	0.0991969	0.254885	-0.1449	0.325153	0.07978	0.161177	<nodata>	-0.19582	0.416476	<nodata>	<nodata>	-0.890812	<nodata>	-0.0955718	<nodata>	-0.120487	-0.393358	0.182195	0.0190139	0.102395	-0.3274	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00342206	<nodata>	-0.138357	<nodata>	-0.25167	<nodata>	<nodata>	<nodata>	0.105441	<nodata>	<nodata>
Q9DCJ5	-0.0294968	0.267379	-0.0820331	-0.286924	-0.100144	0.274641	-0.0907501	-0.150633	-0.280881	-0.169987	<nodata>	-0.201264	-0.676962	<nodata>	<nodata>	<nodata>	-0.299086	-0.262401	<nodata>	<nodata>	<nodata>	0.253896	-0.0225764	0.0209373	0.13585	-0.041576	-0.373746	<nodata>	<nodata>	<nodata>	<nodata>	-0.132184	-0.137863	-0.375209	-0.128667	<nodata>	0.295063	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCJ9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.207468	<nodata>	-0.110529	<nodata>	-0.336244	-0.417855	-0.587219	-0.193592	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCK3	0.295148	0.00895739	-0.100309	-0.285861	0.101593	0.469721	0.0838221	<nodata>	0.615322	-0.117266	-0.431481	-0.403295	-0.243514	-0.443857	-0.239976	-0.235079	0.12335	-0.34442	-0.612652	<nodata>	<nodata>	<nodata>	<nodata>	-0.427125	0.100043	-0.206905	-0.155109	-0.137183	-0.713799	0.010572	0.0291417	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCL8	0.237293	0.14603	-0.0253415	0.0169501	0.076614	0.327224	-0.0686408	-0.0852153	0.285953	0.715376	-0.074382	0.468576	0.365841	0.174925	0.175149	0.349771	0.227106	0.411854	0.307911	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0704487	-0.0620093	-0.26827	0.0911858	0.225274	0.0164536	0.256472	0.12622	0.0178662	0.132386	0.348721
Q9DCL9	0.154334	-0.135252	0.0325611	0.320335	-0.196871	0.00638944	-0.028675	0.304598	-0.258089	1.12503	0.504096	0.161408	0.717643	0.0870374	0.415395	-0.107466	0.177547	0.155771	0.229992	-0.38086	-0.103018	-0.275224	0.132032	-0.175177	-0.298724	<nodata>	-0.111154	-0.130742	-0.022635	-0.102109	-0.351578	<nodata>	-0.574297	-0.451365	0.036332	0.0645753	-0.0563088	0.156873	0.0463982	0.0226437	0.0255953	0.05972
Q9DCM2	0.00398913	0.242807	-0.0270336	-0.452284	-0.181879	0.0289485	-0.374575	-0.482785	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.369185	-0.0360803	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0682108	0.0522061	0.0197672	<nodata>	-0.395955	2.10105	0.107015	-0.356947	0.474262	-0.106342	0.245398	-0.0605426	0.448341	0.118964	0.0548675
Q9DCN2	0.466495	0.0581494	-0.0477226	-0.510227	0.35509	0.00409394	-0.277402	-0.121662	-0.110646	-0.199296	-0.115965	-0.21691	-0.032957	-0.0673793	-0.16629	-0.407355	0.0182832	-0.125922	-0.296808	0.36485	-0.148049	0.0161395	-0.37292	-0.0560994	0.00276648	0.0196022	-0.334776	-0.160591	-0.0524532	-0.0478474	-0.321106	-0.00486276	-0.0787581	-0.404197	0.0736103	-0.0571168	-0.226114	-0.0798916	0.0190906	-0.0598602	-0.183406	-0.397202
Q9DCS1	<nodata>	0.231964	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCS3	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.209274	-0.427139	-0.456327	0.000270913	-0.263726	-0.094161	<nodata>	-0.00826937	-0.422406	<nodata>	<nodata>
Q9DCS9	<nodata>	<nodata>	<nodata>	-0.81457	0.0192328	<nodata>	-0.321567	-0.113908	-0.299561	-0.0363398	0.304439	-0.290702	-0.81511	-0.306462	0.288772	<nodata>	-0.113019	-0.358467	<nodata>	<nodata>	0.101109	-0.145891	<nodata>	0.398973	0.215719	0.402843	-0.0177197	-0.115228	<nodata>	-0.0884963	<nodata>	0.174153	<nodata>	<nodata>	0.0733041	-0.00988424	-0.0313208	-0.556328	-0.101732	-0.0163887	-0.0745872	-0.656905
Q9DCT2	0.0455218	-0.0496353	0.217652	-0.0124116	-0.132581	-0.273069	0.058519	-0.191614	-0.135184	0.180655	-0.0502813	-0.0937684	-0.182959	-0.0322828	-0.426833	-0.401191	-0.276747	-0.1028	-0.47518	<nodata>	-0.0770187	-0.305157	<nodata>	-0.0890278	-0.21523	-0.172003	<nodata>	<nodata>	-0.135725	-0.347611	<nodata>	-0.0235783	-0.176943	-0.17681	-0.0722302	<nodata>	-0.392458	-0.171092	-0.284621	<nodata>	-0.33443	-0.448587
Q9DCT6	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.144664	<nodata>	-0.161725	<nodata>	0.0949103	<nodata>	-0.258537	<nodata>	-0.0619335	<nodata>	0.200783	-0.0784997	-0.0947373	-0.134564	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.596702	<nodata>	<nodata>	<nodata>	-0.112394	<nodata>	-0.061804	-0.334034	-0.116549	<nodata>	-0.133444	-0.467291
Q9DCT8	-0.269853	-0.22888	-0.106055	-0.124993	-0.218413	-0.0820026	-0.158791	-0.173465	-0.0187313	0.0989294	-0.0392047	-0.487169	0.00663	0.100933	-0.232124	-0.488905	-0.0266598	0.0081751	-0.431547	-0.143672	-0.013786	-0.0701187	0.178353	-0.00215484	0.0264583	-0.0784905	-0.322536	0.0808627	0.0779298	-0.0424668	-0.344351	-0.0674997	-0.164381	-0.232031	0.0676061	-0.0425617	-0.0263723	-0.189985	0.122046	-0.0385126	-0.142067	-0.332012
Q9DCU9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.117176	-0.0893553	-0.0116811	-0.155787	-0.111821	0.0465761	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCV7	-0.0170973	0.0639766	-0.0914264	0.0767501	-0.196157	-0.401944	-0.130824	0.042308	-0.0207636	0.0316532	-0.169394	-0.179146	-0.0805422	0.0244183	-0.0926668	-0.145512	0.0586781	-0.0261153	-0.274917	0.130787	0.0739665	0.233194	0.235627	0.0100578	0.0407968	-0.0512341	-0.299707	-0.0655698	-0.00497737	-0.0258846	-0.344846	-0.153302	-0.177531	-0.403885	0.0871407	0.0442207	-0.169823	-0.112386	0.0417753	-0.0614143	-0.182887	-0.329842
Q9DCW2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DCW4	-0.0295368	0.0254995	-0.091751	-0.198113	-0.0183796	-0.0871922	-0.248322	-0.35211	0.0155588	0.0595472	-0.180465	-0.375074	0.0232303	0.11541	-0.296441	-0.667871	0.115521	0.0833289	-0.452113	<nodata>	0.14928	-0.128256	0.136434	-0.0306722	-0.00706567	0.0349777	-0.322703	-0.0280041	0.0211143	-0.252984	-0.521863	-0.0764379	-0.189508	-0.231089	-0.010931	-0.0348641	-0.273544	-0.217788	-0.0385574	0.00686991	-0.390794	-0.364086
Q9DCX2	-0.142183	-0.0923113	-0.308515	-0.265017	0.120547	-0.0279567	-0.0159986	-0.21997	0.0921549	-0.0152263	-0.103923	-0.39514	-0.163187	-0.0435748	-0.138024	-0.27132	-0.0177756	-0.267568	-0.284968	-0.227079	0.110923	-0.129164	0.1412	-0.0230566	-0.0431915	0.149542	-0.195117	0.0166497	0.149982	<nodata>	<nodata>	-0.110788	-0.160433	-0.346341	-0.0544178	-0.039798	-0.0880425	-0.231344	0.0191336	0.0256324	-0.103773	-0.191616
Q9DCZ4	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.00893461	<nodata>	<nodata>	<nodata>	-0.0112108	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.353495	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9DD03	<nodata>	<nodata>	-0.227226	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.130252	0.0543082	0.0224605	-0.0670882	0.0684277	0.190544	0.0865855	-0.0369065	-0.0828929	-0.0353128	-0.149598	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EP69	0.133558	-0.054608	-0.191282	-0.232635	-0.0924287	-0.0251761	-0.295501	-0.0776138	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.192043	0.0603956	-0.151484	-0.315054	0.00732445	0.0746096	0.260536	0.00915925	-0.0188043	0.0244009	0.435823	-0.156869	-0.0907008	-0.105515	<nodata>	0.0102877	-0.0381069	-0.342908	-0.14461	0.0410317	0.0292795	-0.176674	-0.134737
Q9EP71	0.152313	-0.340646	-0.401972	0.215895	0.0159162	-0.309462	0.145771	0.254323	0.661399	<nodata>	<nodata>	<nodata>	0.548326	<nodata>	<nodata>	<nodata>	0.610384	<nodata>	<nodata>	<nodata>	0.143062	0.379082	0.472799	0.0450939	0.343225	-0.336932	-0.15264	<nodata>	<nodata>	<nodata>	<nodata>	0.0138531	0.225783	-0.25187	0.151449	-0.242819	0.0981485	-0.21952	0.118449	-0.360252	0.0535367	0.0110016
Q9EP72	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.494383	<nodata>	0.00993234	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EP95	-0.0445918	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.125274	<nodata>	0.717858	0.748086	0.212919	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EPB4	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.633105	<nodata>	<nodata>	<nodata>	0.437078	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.0701074	0.274801	0.00188352	-0.219657	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.724832	-0.415252	-0.561657	<nodata>	-0.0834138	0.0956428	-0.00757818
Q9EPC1	0.157404	0.133641	0.106669	-0.434648	0.0534326	0.311694	-0.196826	-0.250591	0.0409692	0.0223219	-0.14159	-0.389988	-0.0864974	0.0354266	-0.258082	-0.378986	0.116413	-0.0185937	-0.387542	0.207684	-0.0877344	-0.00860527	-0.320148	-0.0249989	0.0819786	-0.0662945	-0.3703	0.0480194	-0.0132963	-0.0662363	-0.486032	-0.103668	-1.00143	-0.956474	-0.0440149	-0.10652	-0.252984	-0.14179	-0.0819497	-0.0692315	-0.301646	-0.244593
Q9EPE9	0.266179	0.489049	<nodata>	-0.0338757	0.0461947	0.489425	<nodata>	-0.225785	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.494239	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EPL8	<nodata>	0.0609946	<nodata>	<nodata>	<nodata>	-0.314231	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.278717	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EPL9	0.0724686	-0.0866313	-0.0199148	-0.0853437	0.0702074	-0.0769176	0.0390071	-0.117166	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.71872	<nodata>	<nodata>	<nodata>	0.474971
Q9EPU0	-0.10871	-0.123666	0.0514625	0.102849	-0.0927187	-0.199603	0.0601884	0.228707	<nodata>	<nodata>	<nodata>	-0.0457485	<nodata>	<nodata>	<nodata>	0.281934	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.108089	-0.187449	-0.357953	0.666234	0.326613	1.0583	1.02191	0.980472	0.775827	1.15824	0.841055
Q9EQ06	0.0777992	-0.094623	-0.234751	-0.135121	-0.0326491	-0.194092	-0.327403	-0.477829	-0.00223802	0.480221	-0.540207	0.307041	<nodata>	<nodata>	-0.627448	<nodata>	0.477555	<nodata>	-0.799146	0.0680711	-0.00209887	-0.0969665	-0.225423	0.0186521	0.0765977	-0.0373003	-0.309531	0.129339	-0.0134211	0.0725165	-0.406906	0.0815728	-0.157039	-0.506623	0.2275	0.0926434	0.315878	<nodata>	0.218476	0.221962	0.55442	0.119855
Q9EQ20	-0.0239157	-0.0169223	-0.207911	-0.616518	-0.0578081	-0.131539	-0.401832	-0.751087	-0.0665809	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.0944351	<nodata>	<nodata>	<nodata>	-0.0275814	-0.187509	-0.499644	0.0704083	0.00300066	0.149935	-0.634545	0.00056003	-0.0760274	-0.335497	-0.582184	-0.078684	-0.12106	-0.362971	0.219353	-0.0832074	-0.15214	-0.339495	0.0202714	-0.294028	-0.261293	-0.597618
Q9EQ80	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.400386	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.244604	-0.268697	<nodata>	0.205647	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EQG3	0.0842922	0.0646391	-0.076744	-0.173251	0.0433964	-0.0442509	0.102172	-0.4614	0.57889	0.158709	-0.252291	-0.36076	-0.256761	0.0869048	-0.353835	<nodata>	0.47329	-0.212377	<nodata>	0.443395	-0.0134027	-0.0425773	-0.288986	-0.177252	<nodata>	-0.39252	<nodata>	-0.120602	0.0488073	-0.160531	<nodata>	-0.55824	0.00124239	-0.520601	-0.505198	0.133989	0.327367	<nodata>	-0.0383368	-0.00409686	0.181374	<nodata>
Q9EQG9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.245509	-0.118417	<nodata>	<nodata>	0.725623	0.627173	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EQH2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.249515	0.423523	0.125561	-0.0314526	-0.597928	0.121499	0.144472	-0.72747	-0.240074	0.105554	-0.0660041	0.185907	0.054126	-0.15959	-0.335609	0.0747964	-0.0879285	-0.197684	-0.144358	-0.0624392	-0.103141	0.155304	0.00435188	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EQH3	0.15249	-0.179525	0.0624491	0.110024	0.0961919	-0.340458	0.2112	0.175655	0.606426	-0.431403	0.242439	-0.349672	0.335982	0.123586	0.20397	<nodata>	0.234364	-0.120672	0.00605953	0.166458	-0.106862	0.0665328	-0.054951	0.0373535	0.021835	0.0449191	-0.234486	-0.0743708	0.222318	0.143772	0.116486	-0.0626809	-0.455322	-0.254818	-0.0304032	0.509294	0.219057	0.238485	-0.117706	0.448379	-0.0744786	-0.268129
Q9EQI8	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.137082	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EQJ9	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	0.495134	<nodata>	<nodata>	<nodata>	0.15232	<nodata>	<nodata>	<nodata>	<nodata>	0.116011	-0.187221	-0.184139	<nodata>	<nodata>	<nodata>	<nodata>	-0.149362	0.131045	-0.00736591	-0.0213806	-0.133044	-0.25142	-0.383305	<nodata>	-0.599117	0.223876	<nodata>	0.150242	-0.249368	0.2237	<nodata>
Q9EQK5	0.204572	<nodata>	-0.036663	<nodata>	-0.102268	<nodata>	-0.144172	<nodata>	0.289938	0.303162	-0.0159284	-0.104235	-0.216351	0.172693	-0.110014	0.00596963	0.258008	0.157392	0.0122157	-0.169314	-0.0316256	-0.0173079	0.0514575	0.0552418	0.142314	0.386318	-0.110602	0.0353262	-0.18678	-0.00339927	0.231108	-0.32562	-0.430302	-0.672935	-0.0463964	-0.669389	0.337892	0.786018	0.139196	-0.296812	-0.449739	0.126558
Q9EQM6	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EQN3	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.225883	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
Q9EQP2	0.122349	-0.133326	-0.0659325	-0.322277	0.12351	-0.137981	-0.207918	-0.48727	0.0108868	-0.00303866	-0.155605	-0.339742	-0.0796385	-0.0229405	-0.178361	-0.477429	0.00512529	-0.0655221	-0.301734	0.239671	-0.0571282	-0.0932938	-0.258084	0.0186669	0.00851414	0.0265916	-0.278482	-0.0232837	0.0843446	-0.093502	-0.342418	-0.0824576	-0.0546672	-0.401916	-0.0338555	0.0384252	-0.00322646	-0.0887073	-0.0694517	0.0307281	-0.0486852	-0.279111
Q9EQP6	0.125389	0.512336	0.165512	-0.266005	-0.0221476	1.01612	0.114066	-0.103245	<nodata>	0.164565	-0.39202	<nodata>	<nodata>	-0.135335	-0.520051	<nodata>	<nodata>	-0.0361525	-0.720958	<nodata>	-0.102926	-0.0931041	-0.0637432	<nodata>	-0.185234	-0.202204	0.120826	-0.366864	0.241091	-0.165826	-0.725499	-0.0753464	0.00373436	-0.428413	0.133514	-0.272608	-0.147717	0.315105	0.0117015	0.0948154	-0.22553	-0.0314713
Q9EQQ2	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	-0.173274	-0.404629	0.0597514	-0.61835	-0.354124	0.0611715	-0.147017	<nodata>	-0.0997874	-0.186109	0.270815	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>	<nodata>
